game_id,detail_id
341800,19
341800,6
341800,27
341800,29
341800,7
341800,11
341800,31
341800,26
1018020,14
1018020,8
1018020,19
1018020,29
1018020,10
225540,14
225540,29
225540,7
225540,30
8870,14
8870,29
8870,7
8870,30
8870,25
244450,14
244450,8
244450,6
244450,29
244450,30
244450,11
244450,25
244450,31
244450,26
244450,20
816020,14
816020,21
816020,19
816020,9
816020,29
816020,7
287700,14
287700,8
287700,29
287700,7
287700,30
287700,12
287700,25
287700,26
389730,14
389730,8
389730,21
389730,19
389730,9
389730,29
389730,7
389730,30
389730,25
389730,26
571740,14
571740,21
571740,19
571740,29
571740,11
571740,10
571740,25
571740,26
571740,20
678950,14
678950,8
678950,21
678950,9
678950,29
678950,7
678950,30
678950,25
454650,14
454650,8
454650,21
454650,15
454650,6
454650,5
454650,29
454650,7
454650,25
454650,26
323190,14
323190,29
323190,30
323190,25
288470,14
288470,29
288470,7
288470,30
288470,11
288470,25
257350,14
257350,8
257350,6
257350,13
257350,29
257350,30
257350,12
257350,25
621060,14
621060,29
621060,30
621060,10
621060,25
365360,14
365360,29
365360,30
365360,25
378540,14
378540,29
378540,7
378540,30
378540,25
712100,14
712100,8
712100,29
453090,14
453090,29
453090,30
453090,11
453090,25
453090,31
453090,20
727130,14
727130,29
326460,14
326460,8
326460,21
326460,19
326460,29
326460,30
326460,10
326460,31
289130,14
289130,8
289130,21
289130,13
289130,29
289130,30
289130,11
289130,10
289130,25
690790,14
690790,8
690790,21
690790,29
690790,7
690790,25
601050,14
601050,21
601050,5
601050,29
601050,10
601050,25
582160,14
582160,29
582160,30
582160,12
582160,23
582160,10
817130,14
817130,8
817130,6
817130,27
817130,9
817130,29
817130,7
817130,25
367500,14
367500,29
367500,7
367500,30
367500,25
367500,26
489630,14
489630,8
489630,21
489630,19
489630,6
489630,5
489630,27
489630,9
489630,13
489630,29
489630,30
489630,25
704270,14
704270,21
704270,5
704270,29
704270,10
704270,25
325610,14
325610,8
325610,29
325610,30
325610,25
233450,14
233450,21
233450,29
233450,30
233450,11
233450,25
233450,20
704850,14
704850,29
704850,10
960090,14
960090,29
960090,23
519860,14
519860,21
519860,29
519860,7
519860,30
519860,25
445980,14
445980,27
445980,9
445980,29
445980,7
445980,30
445980,25
610180,19
610180,27
610180,29
610180,30
610180,10
610180,25
410320,14
410320,8
410320,6
410320,9
410320,29
410320,7
410320,30
410320,25
535930,14
535930,29
535930,30
535930,11
535930,25
352720,14
352720,29
352720,30
352720,25
312660,14
312660,8
312660,6
312660,29
312660,7
312660,30
312660,25
312660,26
373420,14
373420,8
373420,6
373420,9
373420,13
373420,29
373420,7
373420,30
373420,12
373420,25
448280,14
448280,29
448280,30
448280,2
334230,8
334230,13
334230,29
334230,23
334230,25
431240,14
431240,21
431240,13
431240,29
431240,11
431240,31
431240,20
20920,14
20920,29
20920,30
20920,10
20920,25
20920,26
231430,14
231430,8
231430,6
231430,29
231430,30
231430,11
231430,25
231430,31
221680,14
221680,9
221680,29
221680,30
221680,23
221680,10
221680,25
221680,26
502500,14
502500,21
502500,29
502500,7
502500,30
502500,25
726830,14
726830,29
228280,14
228280,8
228280,6
228280,13
228280,29
228280,30
228280,12
228280,25
695290,14
695290,8
695290,21
695290,19
695290,6
695290,5
695290,27
695290,29
695290,7
695290,31
695290,24
695290,20
880940,14
880940,8
880940,21
880940,19
880940,9
880940,29
880940,7
450540,14
601430,14
601430,29
601430,30
601430,25
378860,14
378860,8
378860,21
378860,29
378860,25
378860,26
201270,14
201270,8
201270,6
201270,29
201270,30
201270,25
201270,22
201270,31
39140,14
39140,29
39140,10
227300,14
227300,29
227300,30
227300,11
227300,10
227300,25
227300,20
392110,14
392110,8
392110,21
392110,13
392110,29
392110,30
392110,11
392110,25
674940,8
674940,21
674940,19
674940,9
674940,10
699170,14
699170,29
699170,7
699170,30
699170,25
831980,14
831980,29
831980,11
831980,23
205100,14
205100,29
205100,7
205100,25
244210,14
244210,21
244210,29
244210,10
244210,26
244210,20
666140,14
666140,29
666140,7
666140,30
666140,25
611660,14
611660,2
311690,14
311690,9
311690,29
311690,7
311690,25
342180,14
342180,8
342180,21
342180,5
342180,29
342180,30
342180,2
342180,25
342180,26
266840,14
266840,8
266840,6
266840,29
266840,30
266840,11
266840,25
266840,31
266840,26
266840,20
872790,14
872790,8
872790,29
872790,30
872790,11
872790,25
872790,26
451340,14
451340,7
451340,30
451340,25
1061090,14
1061090,29
1061090,7
24010,14
24010,29
24010,7
24010,30
24010,11
24010,23
24010,25
24010,26
531510,14
531510,8
531510,21
531510,19
531510,6
531510,5
531510,27
531510,9
531510,29
531510,7
531510,30
531510,25
232090,14
232090,8
232090,21
232090,6
232090,5
232090,29
232090,7
232090,30
232090,11
232090,23
232090,22
232090,20
433340,14
433340,29
433340,7
433340,30
433340,25
48700,14
48700,8
48700,29
48700,30
48700,11
715560,14
715560,29
715560,7
250900,14
250900,9
250900,29
250900,7
250900,30
250900,25
774461,14
774461,19
774461,27
774461,29
774461,30
774461,10
774461,25
310060,14
310060,29
310060,7
310060,30
858810,14
858810,29
858810,11
736260,14
736260,29
736260,7
736260,25
361420,14
361420,5
361420,7
367520,14
367520,29
367520,7
367520,30
367520,25
569480,14
569480,29
362960,14
362960,29
362960,30
362960,25
268500,14
268500,8
268500,13
268500,29
268500,30
268500,11
268500,25
620,14
620,6
620,29
620,7
620,30
620,12
620,11
620,25
620,31
620,20
620,17
457140,14
648350,14
648350,29
