game_id,genre_id
584400,10
241600,18
241600,7
241600,13
241600,9
418180,18
418180,13
418180,9
908070,13
908070,16
552440,18
552440,7
552440,13
298050,16
382900,9
310560,1
310560,12
310560,20
966680,7
966680,13
304650,7
304650,13
304650,9
829110,18
829110,7
418340,18
418340,7
418340,13
283640,18
283640,13
283640,9
525480,9
487000,18
487000,7
487000,13
487000,9
372360,9
905490,7
905490,13
905490,9
905490,8
530120,10
530120,13
530120,12
366870,7
366870,13
321800,7
321800,9
321800,16
351970,9
865940,18
245470,13
245470,12
245470,16
239120,9
1250,18
259680,7
259680,13
259680,9
627270,18
365450,13
365450,12
321960,9
321960,16
383150,18
512790,7
512790,13
871930,13
871930,12
871930,16
374040,18
374040,7
374040,9
306760,7
306760,13
496300,13
496300,12
496300,16
554620,18
554620,7
846470,18
846470,7
846470,10
242680,18
242680,13
242680,9
386070,16
520440,18
1045620,9
113200,18
113200,7
113200,13
113200,9
624090,12
624090,20
511740,18
511740,7
486780,18
486780,10
486780,12
486780,20
906790,18
906790,7
906790,13
906790,9
906790,12
906790,16
906790,8
797400,13
797400,12
797400,16
797400,8
552700,9
774201,7
774201,13
269190,9
269190,8
232890,12
232890,16
40100,16
564230,12
564230,20
604240,18
604240,13
637670,18
637670,9
312520,18
312520,7
312520,13
280220,13
280220,12
280220,16
411960,18
411960,7
411960,13
278080,18
467520,12
467520,16
465240,18
465240,13
40980,12
40980,16
234140,18
234140,7
8850,18
456750,7
456750,13
252110,18
252110,13
252110,12
965480,6
631510,18
586140,18
573490,12
675260,7
838310,18
346940,7
346940,13
346940,9
346940,16
35450,18
35450,2
35450,12
835430,18
835430,7
835430,13
297000,9
297000,16
306020,18
306020,16
622720,13
622720,12
622720,16
745010,18
745010,7
745010,13
745010,9
745010,8
334540,18
334540,13
334540,12
334540,8
322520,18
800270,16
432350,7
432350,9
432350,16
346010,13
346010,12
346010,8
218680,7
218680,10
218680,16
312750,9
245620,9
245620,12
245620,16
555950,18
258970,18
258970,7
258970,9
422900,13
422900,12
422900,16
464060,18
464060,13
272270,7
272270,13
272270,9
272270,16
832770,13
832770,9
832770,16
403190,13
403190,12
403190,16
789760,18
789760,13
789760,9
324800,18
324800,7
343780,10
343780,13
343780,12
333420,16
766320,18
766320,9
252610,18
252610,13
252610,9
1012560,18
1012560,10
1012560,13
263280,7
263280,10
263280,13
263280,1
263280,12
423580,12
423580,16
445190,13
445190,9
445190,16
706020,9
221040,18
221040,7
587620,7
333640,7
333640,13
333640,9
333640,16
333640,8
307690,18
307690,7
307690,1
210770,18
210770,13
210770,16
214630,18
57300,18
57300,7
57300,13
291860,18
291860,13
291860,9
291860,16
858210,18
858210,13
858210,8
269210,18
269210,7
269210,13
269210,2
269210,9
681280,18
681280,1
681280,20
458580,18
458580,7
458580,13
716490,13
716490,12
239350,13
368360,7
368360,10
368360,13
368360,12
368360,16
794800,10
794800,16
657200,12
235460,18
21690,18
21690,7
641960,18
641960,10
641960,13
641960,20
954650,7
954650,13
954650,9
954650,16
367450,13
367450,12
538680,9
611760,7
611760,13
916730,18
916730,7
916730,13
213610,18
35140,18
35140,7
15620,16
312530,18
312530,13
405310,18
405310,7
10680,18
223470,18
223470,7
223470,13
1029630,12
1029630,16
980300,18
980300,10
980300,13
300550,7
300550,13
300550,9
300550,16
446800,12
803600,9
803600,16
257510,18
257510,7
257510,13
748490,9
440650,13
440650,12
440650,16
673130,18
673130,8
204100,18
368620,18
368620,7
368620,13
368620,9
485510,18
485510,9
774351,10
774351,13
774351,12
774351,16
501080,12
